SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
177,64kB,2,2,8,5,20,4,0.02292,1012738.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
178,64kB,2,4,16,3,20,4,0.013806,1006338.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
179,64kB,8,2,8,3,20,8,0.01979,1050541.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
180,128kB,8,4,8,5,30,4,0.022953,1019593.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
181,64kB,2,4,16,5,20,4,0.02292,992893.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
182,128kB,8,4,8,3,20,4,0.013806,998854.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
183,128kB,4,4,16,5,20,4,0.02292,1017302.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
184,128kB,4,4,16,5,20,8,0.032891,1041402.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
185,128kB,8,2,16,3,30,8,0.019824,1044271.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
186,128kB,4,2,8,5,20,4,0.02292,1022567.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
187,64kB,2,2,8,5,20,0,0.006772,907608.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
188,64kB,4,2,8,3,30,0,0.004152,932793.0,2490863.0,5.58972,0.1789,0.002395,180717.954545,0.000949,175322.413793,0.979432,168372.001
189,128kB,4,2,16,5,20,4,0.02292,1007522.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
190,128kB,2,4,16,5,20,8,0.032891,995134.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
191,128kB,8,4,16,3,20,8,0.01979,1046695.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
192,64kB,8,4,8,5,30,8,0.032925,1040483.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
193,64kB,4,2,16,5,20,4,0.02292,1019370.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
194,128kB,8,4,8,3,30,4,0.01384,1006024.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
195,128kB,2,2,8,5,30,4,0.022953,1020797.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
196,64kB,2,4,16,3,30,0,0.004151,917529.0,2489896.0,5.58755,0.178969,0.002395,180418.652273,0.000936,175116.601399,0.987167,167226.772
197,128kB,4,4,8,3,20,0,0.004117,900777.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
198,128kB,8,4,16,5,20,4,0.02292,1016895.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
199,128kB,8,2,16,3,20,0,0.004118,918103.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
200,64kB,2,4,8,5,30,8,0.032925,1027740.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
